[14-May-2014 15:46:54 UTC] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 4
[15-May-2014 00:47:40 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[15-May-2014 00:49:44 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[14-May-2014 15:52:08 UTC] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[15-May-2014 00:55:41 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[15-May-2014 00:56:46 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[15-May-2014 00:58:38 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[15-May-2014 00:59:07 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[15-May-2014 01:00:54 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[15-May-2014 01:03:57 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[15-May-2014 01:04:02 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 5
[15-May-2014 01:04:21 Asia/Tokyo] PHP Fatal error:  Class 'Controller' not found in C:\Apache24\htdocs\CI\application\controllers\blog.php on line 3
[02-Jun-2014 00:17:50 Asia/Tokyo] PHP Fatal error:  Call to a member function getViewModule() on a non-object in C:\Apache24\htdocs\CI\application\controllers\view_module_controller.php on line 14
[02-Jun-2014 00:28:15 Asia/Tokyo] PHP Fatal error:  Call to undefined function base_url() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 5
[02-Jun-2014 01:16:28 Asia/Tokyo] PHP Fatal error:  Call to undefined function validation_errors() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 2
[02-Jun-2014 01:16:43 Asia/Tokyo] PHP Fatal error:  Call to undefined function validation_errors() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 2
[02-Jun-2014 01:17:09 Asia/Tokyo] PHP Fatal error:  Call to undefined function validation_errors() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 2
[02-Jun-2014 01:57:45 Asia/Tokyo] PHP Fatal error:  Call to undefined function validation_errors() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 2
[02-Jun-2014 01:58:36 Asia/Tokyo] PHP Fatal error:  Call to undefined function validation_errors() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 2
[02-Jun-2014 01:59:16 Asia/Tokyo] PHP Fatal error:  Call to undefined function validation_errors() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 2
[02-Jun-2014 02:02:15 Asia/Tokyo] PHP Fatal error:  Call to undefined function validation_errors() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 2
[02-Jun-2014 02:20:55 Asia/Tokyo] PHP Fatal error:  Call to undefined function validation_errors() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 2
[02-Jun-2014 02:22:19 Asia/Tokyo] PHP Fatal error:  Call to undefined function form_open() in C:\Apache24\htdocs\CI\application\views\view_module\view_view.php on line 3
[02-Jun-2014 02:25:42 Asia/Tokyo] PHP Fatal error:  Call to a member function run() on a non-object in C:\Apache24\htdocs\CI\application\controllers\view_module_controller.php on line 33
[02-Jun-2014 02:26:05 Asia/Tokyo] PHP Fatal error:  Call to a member function run() on a non-object in C:\Apache24\htdocs\CI\application\controllers\view_module_controller.php on line 33
[02-Jun-2014 02:27:36 Asia/Tokyo] PHP Fatal error:  Call to a member function set_rules() on a non-object in C:\Apache24\htdocs\CI\application\controllers\view_module_controller.php on line 28
